cohort_month,month,months_since_signup,cohort_customers,active_customers,retention_rate_pct
2022-05,2024-09,28,11,1,9.09
2022-05,2024-10,29,11,1,9.09
2022-05,2024-11,30,11,1,9.09
2022-05,2024-12,31,11,1,9.09
2022-05,2025-01,32,11,1,9.09
2022-05,2025-02,33,11,1,9.09
2022-05,2025-03,34,11,1,9.09
2022-05,2025-04,35,11,1,9.09
2022-05,2025-05,36,11,1,9.09
2022-05,2025-06,37,11,1,9.09
2022-05,2025-07,38,11,1,9.09
2022-05,2025-08,39,11,1,9.09
2022-05,2025-09,40,11,0,0.0
2022-05,2025-10,41,11,0,0.0
2022-05,2025-11,42,11,0,0.0
2022-05,2025-12,43,11,0,0.0
2022-06,2022-06,0,10,9,90.0
2022-06,2022-07,1,10,9,90.0
2022-06,2022-08,2,10,8,80.0
2022-06,2022-09,3,10,8,80.0
2022-06,2022-10,4,10,7,70.0
2022-06,2022-11,5,10,7,70.0
2022-06,2022-12,6,10,7,70.0
2022-06,2023-01,7,10,6,60.0
2022-06,2023-02,8,10,6,60.0
2022-06,2023-03,9,10,6,60.0
2022-06,2023-04,10,10,6,60.0
2022-06,2023-05,11,10,6,60.0
2022-06,2023-06,12,10,6,60.0
2022-06,2023-07,13,10,6,60.0
2022-06,2023-08,14,10,6,60.0
2022-06,2023-09,15,10,6,60.0
2022-06,2023-10,16,10,6,60.0
2022-06,2023-11,17,10,6,60.0
2022-06,2023-12,18,10,5,50.0
2022-06,2024-01,19,10,5,50.0
2022-06,2024-02,20,10,5,50.0
2022-06,2024-03,21,10,4,40.0
2022-06,2024-04,22,10,3,30.0
2022-06,2024-05,23,10,3,30.0
2022-06,2024-06,24,10,2,20.0
2022-06,2024-07,25,10,2,20.0
2022-06,2024-08,26,10,2,20.0
2022-06,2024-09,27,10,2,20.0
2022-06,2024-10,28,10,2,20.0
2022-06,2024-11,29,10,2,20.0
2022-06,2024-12,30,10,1,10.0
2022-06,2025-01,31,10,1,10.0
2022-06,2025-02,32,10,1,10.0
2022-06,2025-03,33,10,1,10.0
2022-06,2025-04,34,10,1,10.0
2022-06,2025-05,35,10,1,10.0
2022-06,2025-06,36,10,1,10.0
2022-06,2025-07,37,10,1,10.0
2022-06,2025-08,38,10,1,10.0
2022-06,2025-09,39,10,1,10.0
2022-06,2025-10,40,10,1,10.0
2022-06,2025-11,41,10,1,10.0
2022-06,2025-12,42,10,1,10.0
2022-07,2022-07,0,8,8,100.0
2022-07,2022-08,1,8,8,100.0
2022-07,2022-09,2,8,8,100.0
2022-07,2022-10,3,8,6,75.0
2022-07,2022-11,4,8,6,75.0
2022-07,2022-12,5,8,6,75.0
2022-07,2023-01,6,8,6,75.0
2022-07,2023-02,7,8,6,75.0
2022-07,2023-03,8,8,6,75.0
2022-07,2023-04,9,8,6,75.0
2022-07,2023-05,10,8,6,75.0
2022-07,2023-06,11,8,6,75.0
2022-07,2023-07,12,8,6,75.0
2022-07,2023-08,13,8,6,75.0
2022-07,2023-09,14,8,6,75.0
2022-07,2023-10,15,8,6,75.0
2022-07,2023-11,16,8,6,75.0
2022-07,2023-12,17,8,6,75.0
2022-07,2024-01,18,8,6,75.0
2022-07,2024-02,19,8,6,75.0
2022-07,2024-03,20,8,6,75.0
2022-07,2024-04,21,8,6,75.0
2022-07,2024-05,22,8,4,50.0
2022-07,2024-06,23,8,4,50.0
2022-07,2024-07,24,8,3,37.5
2022-07,2024-08,25,8,3,37.5
2022-07,2024-09,26,8,3,37.5
2022-07,2024-10,27,8,3,37.5
2022-07,2024-11,28,8,3,37.5
2022-07,2024-12,29,8,3,37.5
2022-07,2025-01,30,8,3,37.5
2022-07,2025-02,31,8,3,37.5
2022-07,2025-03,32,8,3,37.5
2022-07,2025-04,33,8,3,37.5
2022-07,2025-05,34,8,3,37.5
2022-07,2025-06,35,8,3,37.5
2022-07,2025-07,36,8,3,37.5
2022-07,2025-08,37,8,3,37.5
2022-07,2025-09,38,8,2,25.0
2022-07,2025-10,39,8,2,25.0
2022-07,2025-11,40,8,2,25.0
2022-07,2025-12,41,8,2,25.0
2022-08,2022-08,0,18,17,94.44
2022-08,2022-09,1,18,14,77.78
2022-08,2022-10,2,18,14,77.78
2022-08,2022-11,3,18,14,77.78
2022-08,2022-12,4,18,13,72.22
2022-08,2023-01,5,18,13,72.22
2022-08,2023-02,6,18,13,72.22
2022-08,2023-03,7,18,13,72.22
2022-08,2023-04,8,18,13,72.22
2022-08,2023-05,9,18,13,72.22
2022-08,2023-06,10,18,13,72.22
2022-08,2023-07,11,18,13,72.22
2022-08,2023-08,12,18,12,66.67
2022-08,2023-09,13,18,12,66.67
2022-08,2023-10,14,18,12,66.67
2022-08,2023-11,15,18,11,61.11
2022-08,2023-12,16,18,10,55.56
2022-08,2024-01,17,18,10,55.56
2022-08,2024-02,18,18,10,55.56
2022-08,2024-03,19,18,10,55.56
2022-08,2024-04,20,18,10,55.56
2022-08,2024-05,21,18,9,50.0
2022-08,2024-06,22,18,9,50.0
2022-08,2024-07,23,18,9,50.0
2022-08,2024-08,24,18,9,50.0
2022-08,2024-09,25,18,9,50.0
2022-08,2024-10,26,18,9,50.0
2022-08,2024-11,27,18,9,50.0
2022-08,2024-12,28,18,8,44.44
2022-08,2025-01,29,18,8,44.44
2022-08,2025-02,30,18,8,44.44
2022-08,2025-03,31,18,8,44.44
2022-08,2025-04,32,18,8,44.44
2022-08,2025-05,33,18,8,44.44
2022-08,2025-06,34,18,8,44.44
2022-08,2025-07,35,18,8,44.44
2022-08,2025-08,36,18,8,44.44
2022-08,2025-09,37,18,8,44.44
2022-08,2025-10,38,18,8,44.44
2022-08,2025-11,39,18,8,44.44
2022-08,2025-12,40,18,8,44.44
2022-09,2022-09,0,13,13,100.0
2022-09,2022-10,1,13,13,100.0
2022-09,2022-11,2,13,12,92.31
2022-09,2022-12,3,13,12,92.31
2022-09,2023-01,4,13,11,84.62
2022-09,2023-02,5,13,11,84.62
2022-09,2023-03,6,13,10,76.92
2022-09,2023-04,7,13,9,69.23
2022-09,2023-05,8,13,9,69.23
2022-09,2023-06,9,13,9,69.23
2022-09,2023-07,10,13,8,61.54
2022-09,2023-08,11,13,8,61.54
2022-09,2023-09,12,13,8,61.54
2022-09,2023-10,13,13,8,61.54
2022-09,2023-11,14,13,8,61.54
2022-09,2023-12,15,13,8,61.54
2022-09,2024-01,16,13,8,61.54
2022-09,2024-02,17,13,8,61.54
2022-09,2024-03,18,13,7,53.85
2022-09,2024-04,19,13,7,53.85
2022-09,2024-05,20,13,7,53.85
2022-09,2024-06,21,13,7,53.85
2022-09,2024-07,22,13,7,53.85
2022-09,2024-08,23,13,7,53.85
2022-09,2024-09,24,13,7,53.85
2022-09,2024-10,25,13,7,53.85
2022-09,2024-11,26,13,7,53.85
2022-09,2024-12,27,13,7,53.85
2022-09,2025-01,28,13,6,46.15
2022-09,2025-02,29,13,6,46.15
2022-09,2025-03,30,13,6,46.15
2022-09,2025-04,31,13,6,46.15
2022-09,2025-05,32,13,5,38.46
2022-09,2025-06,33,13,5,38.46
2022-09,2025-07,34,13,5,38.46
2022-09,2025-08,35,13,5,38.46
2022-09,2025-09,36,13,5,38.46
2022-09,2025-10,37,13,5,38.46
2022-09,2025-11,38,13,5,38.46
2022-09,2025-12,39,13,5,38.46
2022-10,2022-10,0,16,15,93.75
2022-10,2022-11,1,16,15,93.75
2022-10,2022-12,2,16,15,93.75
2022-10,2023-01,3,16,15,93.75
2022-10,2023-02,4,16,15,93.75
2022-10,2023-03,5,16,15,93.75
2022-10,2023-04,6,16,14,87.5
2022-10,2023-05,7,16,14,87.5
2022-10,2023-06,8,16,13,81.25
2022-10,2023-07,9,16,12,75.0
2022-10,2023-08,10,16,12,75.0
2022-10,2023-09,11,16,12,75.0
2022-10,2023-10,12,16,12,75.0
2022-10,2023-11,13,16,12,75.0
2022-10,2023-12,14,16,12,75.0
2022-10,2024-01,15,16,11,68.75
2022-10,2024-02,16,16,10,62.5
2022-10,2024-03,17,16,10,62.5
2022-10,2024-04,18,16,8,50.0
2022-10,2024-05,19,16,8,50.0
2022-10,2024-06,20,16,7,43.75
2022-10,2024-07,21,16,7,43.75
2022-10,2024-08,22,16,7,43.75
2022-10,2024-09,23,16,7,43.75
2022-10,2024-10,24,16,7,43.75
2022-10,2024-11,25,16,6,37.5
2022-10,2024-12,26,16,5,31.25
2022-10,2025-01,27,16,5,31.25
2022-10,2025-02,28,16,5,31.25
2022-10,2025-03,29,16,4,25.0
2022-10,2025-04,30,16,4,25.0
2022-10,2025-05,31,16,4,25.0
2022-10,2025-06,32,16,4,25.0
2022-10,2025-07,33,16,4,25.0
2022-10,2025-08,34,16,4,25.0
2022-10,2025-09,35,16,3,18.75
2022-10,2025-10,36,16,3,18.75
2022-10,2025-11,37,16,3,18.75
2022-10,2025-12,38,16,3,18.75
2022-11,2022-11,0,14,12,85.71
2022-11,2022-12,1,14,12,85.71
2022-11,2023-01,2,14,12,85.71
2022-11,2023-02,3,14,11,78.57
2022-11,2023-03,4,14,10,71.43
2022-11,2023-04,5,14,10,71.43
2022-11,2023-05,6,14,9,64.29
2022-11,2023-06,7,14,9,64.29
2022-11,2023-07,8,14,9,64.29
2022-11,2023-08,9,14,8,57.14
2022-11,2023-09,10,14,7,50.0
2022-11,2023-10,11,14,6,42.86
2022-11,2023-11,12,14,6,42.86
2022-11,2023-12,13,14,6,42.86
2022-11,2024-01,14,14,5,35.71
2022-11,2024-02,15,14,5,35.71
2022-11,2024-03,16,14,5,35.71
2022-11,2024-04,17,14,5,35.71
2022-11,2024-05,18,14,5,35.71
2022-11,2024-06,19,14,5,35.71
2022-11,2024-07,20,14,5,35.71
2022-11,2024-08,21,14,5,35.71
2022-11,2024-09,22,14,5,35.71
2022-11,2024-10,23,14,5,35.71
2022-11,2024-11,24,14,5,35.71
2022-11,2024-12,25,14,5,35.71
2022-11,2025-01,26,14,5,35.71
2022-11,2025-02,27,14,5,35.71
2022-11,2025-03,28,14,5,35.71
2022-11,2025-04,29,14,5,35.71
2022-11,2025-05,30,14,4,28.57
2022-11,2025-06,31,14,4,28.57
2022-11,2025-07,32,14,4,28.57
2022-11,2025-08,33,14,4,28.57
2022-11,2025-09,34,14,3,21.43
2022-11,2025-10,35,14,3,21.43
2022-11,2025-11,36,14,3,21.43
2022-11,2025-12,37,14,3,21.43
2022-12,2022-12,0,14,14,100.0
2022-12,2023-01,1,14,13,92.86
2022-12,2023-02,2,14,12,85.71
2022-12,2023-03,3,14,12,85.71
2022-12,2023-04,4,14,9,64.29
2022-12,2023-05,5,14,8,57.14
2022-12,2023-06,6,14,7,50.0
2022-12,2023-07,7,14,7,50.0
2022-12,2023-08,8,14,6,42.86
2022-12,2023-09,9,14,6,42.86
2022-12,2023-10,10,14,6,42.86
2022-12,2023-11,11,14,4,28.57
2022-12,2023-12,12,14,4,28.57
2022-12,2024-01,13,14,4,28.57
2022-12,2024-02,14,14,4,28.57
2022-12,2024-03,15,14,4,28.57
2022-12,2024-04,16,14,4,28.57
2022-12,2024-05,17,14,4,28.57
2022-12,2024-06,18,14,4,28.57
2022-12,2024-07,19,14,4,28.57
2022-12,2024-08,20,14,4,28.57
2022-12,2024-09,21,14,4,28.57
2022-12,2024-10,22,14,4,28.57
2022-12,2024-11,23,14,3,21.43
2022-12,2024-12,24,14,3,21.43
2022-12,2025-01,25,14,3,21.43
2022-12,2025-02,26,14,3,21.43
2022-12,2025-03,27,14,2,14.29
2022-12,2025-04,28,14,2,14.29
2022-12,2025-05,29,14,2,14.29
2022-12,2025-06,30,14,2,14.29
2022-12,2025-07,31,14,2,14.29
2022-12,2025-08,32,14,2,14.29
2022-12,2025-09,33,14,2,14.29
2022-12,2025-10,34,14,2,14.29
2022-12,2025-11,35,14,2,14.29
2022-12,2025-12,36,14,2,14.29
2023-01,2023-01,0,12,12,100.0
2023-01,2023-02,1,12,12,100.0
2023-01,2023-03,2,12,12,100.0
2023-01,2023-04,3,12,11,91.67
2023-01,2023-05,4,12,11,91.67
2023-01,2023-06,5,12,9,75.0
2023-01,2023-07,6,12,9,75.0
2023-01,2023-08,7,12,9,75.0
2023-01,2023-09,8,12,9,75.0
2023-01,2023-10,9,12,9,75.0
2023-01,2023-11,10,12,9,75.0
2023-01,2023-12,11,12,9,75.0
2023-01,2024-01,12,12,8,66.67
2023-01,2024-02,13,12,8,66.67
2023-01,2024-03,14,12,8,66.67
2023-01,2024-04,15,12,8,66.67
2023-01,2024-05,16,12,8,66.67
2023-01,2024-06,17,12,8,66.67
2023-01,2024-07,18,12,8,66.67
2023-01,2024-08,19,12,7,58.33
2023-01,2024-09,20,12,7,58.33
2023-01,2024-10,21,12,7,58.33
2023-01,2024-11,22,12,7,58.33
2023-01,2024-12,23,12,7,58.33
2023-01,2025-01,24,12,7,58.33
2023-01,2025-02,25,12,6,50.0
2023-01,2025-03,26,12,6,50.0
2023-01,2025-04,27,12,6,50.0
2023-01,2025-05,28,12,6,50.0
2023-01,2025-06,29,12,5,41.67
2023-01,2025-07,30,12,4,33.33
2023-01,2025-08,31,12,4,33.33
2023-01,2025-09,32,12,3,25.0
2023-01,2025-10,33,12,3,25.0
2023-01,2025-11,34,12,3,25.0
2023-01,2025-12,35,12,3,25.0
2023-02,2023-02,0,10,9,90.0
2023-02,2023-03,1,10,9,90.0
2023-02,2023-04,2,10,9,90.0
2023-02,2023-05,3,10,8,80.0
2023-02,2023-06,4,10,8,80.0
2023-02,2023-07,5,10,8,80.0
2023-02,2023-08,6,10,7,70.0
2023-02,2023-09,7,10,7,70.0
2023-02,2023-10,8,10,7,70.0
2023-02,2023-11,9,10,7,70.0
2023-02,2023-12,10,10,7,70.0
2023-02,2024-01,11,10,7,70.0
2023-02,2024-02,12,10,7,70.0
2023-02,2024-03,13,10,7,70.0
2023-02,2024-04,14,10,7,70.0
2023-02,2024-05,15,10,7,70.0
2023-02,2024-06,16,10,7,70.0
2023-02,2024-07,17,10,7,70.0
2023-02,2024-08,18,10,7,70.0
2023-02,2024-09,19,10,7,70.0
2023-02,2024-10,20,10,7,70.0
2023-02,2024-11,21,10,7,70.0
2023-02,2024-12,22,10,7,70.0
2023-02,2025-01,23,10,7,70.0
2023-02,2025-02,24,10,7,70.0
2023-02,2025-03,25,10,7,70.0
2023-02,2025-04,26,10,7,70.0
2023-02,2025-05,27,10,7,70.0
2023-02,2025-06,28,10,7,70.0
2023-02,2025-07,29,10,7,70.0
2023-02,2025-08,30,10,6,60.0
2023-02,2025-09,31,10,4,40.0
2023-02,2025-10,32,10,3,30.0
2023-02,2025-11,33,10,3,30.0
2023-02,2025-12,34,10,3,30.0
2023-03,2023-03,0,5,5,100.0
2023-03,2023-04,1,5,5,100.0
2023-03,2023-05,2,5,5,100.0
2023-03,2023-06,3,5,5,100.0
2023-03,2023-07,4,5,5,100.0
2023-03,2023-08,5,5,5,100.0
2023-03,2023-09,6,5,5,100.0
2023-03,2023-10,7,5,5,100.0
2023-03,2023-11,8,5,5,100.0
2023-03,2023-12,9,5,5,100.0
2023-03,2024-01,10,5,5,100.0
2023-03,2024-02,11,5,5,100.0
2023-03,2024-03,12,5,5,100.0
2023-03,2024-04,13,5,5,100.0
2023-03,2024-05,14,5,5,100.0
2023-03,2024-06,15,5,4,80.0
2023-03,2024-07,16,5,4,80.0
2023-03,2024-08,17,5,4,80.0
2023-03,2024-09,18,5,4,80.0
2023-03,2024-10,19,5,4,80.0
2023-03,2024-11,20,5,4,80.0
2023-03,2024-12,21,5,4,80.0
2023-03,2025-01,22,5,4,80.0
2023-03,2025-02,23,5,4,80.0
2023-03,2025-03,24,5,4,80.0
2023-03,2025-04,25,5,4,80.0
2023-03,2025-05,26,5,4,80.0
2023-03,2025-06,27,5,4,80.0
2023-03,2025-07,28,5,4,80.0
2023-03,2025-08,29,5,4,80.0
2023-03,2025-09,30,5,4,80.0
2023-03,2025-10,31,5,4,80.0
2023-03,2025-11,32,5,4,80.0
2023-03,2025-12,33,5,4,80.0
2023-04,2023-04,0,14,13,92.86
2023-04,2023-05,1,14,12,85.71
2023-04,2023-06,2,14,11,78.57
2023-04,2023-07,3,14,10,71.43
2023-04,2023-08,4,14,10,71.43
2023-04,2023-09,5,14,10,71.43
2023-04,2023-10,6,14,10,71.43
2023-04,2023-11,7,14,10,71.43
2023-04,2023-12,8,14,8,57.14
2023-04,2024-01,9,14,8,57.14
2023-04,2024-02,10,14,8,57.14
2023-04,2024-03,11,14,8,57.14
2023-04,2024-04,12,14,8,57.14
2023-04,2024-05,13,14,8,57.14
2023-04,2024-06,14,14,8,57.14
2023-04,2024-07,15,14,8,57.14
2023-04,2024-08,16,14,7,50.0
2023-04,2024-09,17,14,7,50.0
2023-04,2024-10,18,14,7,50.0
2023-04,2024-11,19,14,6,42.86
2023-04,2024-12,20,14,6,42.86
2023-04,2025-01,21,14,5,35.71
2023-04,2025-02,22,14,5,35.71
2023-04,2025-03,23,14,5,35.71
2023-04,2025-04,24,14,5,35.71
2023-04,2025-05,25,14,5,35.71
2023-04,2025-06,26,14,5,35.71
2023-04,2025-07,27,14,5,35.71
2023-04,2025-08,28,14,5,35.71
2023-04,2025-09,29,14,5,35.71
2023-04,2025-10,30,14,5,35.71
2023-04,2025-11,31,14,5,35.71
2023-04,2025-12,32,14,5,35.71
2023-05,2023-05,0,13,13,100.0
2023-05,2023-06,1,13,11,84.62
2023-05,2023-07,2,13,10,76.92
2023-05,2023-08,3,13,10,76.92
2023-05,2023-09,4,13,10,76.92
2023-05,2023-10,5,13,10,76.92
2023-05,2023-11,6,13,10,76.92
2023-05,2023-12,7,13,10,76.92
2023-05,2024-01,8,13,10,76.92
2023-05,2024-02,9,13,9,69.23
2023-05,2024-03,10,13,8,61.54
2023-05,2024-04,11,13,8,61.54
2023-05,2024-05,12,13,8,61.54
2023-05,2024-06,13,13,8,61.54
2023-05,2024-07,14,13,7,53.85
2023-05,2024-08,15,13,7,53.85
2023-05,2024-09,16,13,7,53.85
2023-05,2024-10,17,13,7,53.85
2023-05,2024-11,18,13,7,53.85
2023-05,2024-12,19,13,7,53.85
2023-05,2025-01,20,13,7,53.85
2023-05,2025-02,21,13,7,53.85
2023-05,2025-03,22,13,7,53.85
2023-05,2025-04,23,13,6,46.15
2023-05,2025-05,24,13,6,46.15
2023-05,2025-06,25,13,6,46.15
2023-05,2025-07,26,13,6,46.15
2023-05,2025-08,27,13,6,46.15
2023-05,2025-09,28,13,6,46.15
2023-05,2025-10,29,13,6,46.15
2023-05,2025-11,30,13,6,46.15
2023-05,2025-12,31,13,6,46.15
2023-06,2023-06,0,15,14,93.33
2023-06,2023-07,1,15,13,86.67
2023-06,2023-08,2,15,12,80.0
2023-06,2023-09,3,15,11,73.33
2023-06,2023-10,4,15,9,60.0
2023-06,2023-11,5,15,9,60.0
2023-06,2023-12,6,15,9,60.0
2023-06,2024-01,7,15,9,60.0
2023-06,2024-02,8,15,9,60.0
2023-06,2024-03,9,15,9,60.0
2023-06,2024-04,10,15,9,60.0
2023-06,2024-05,11,15,9,60.0
2023-06,2024-06,12,15,9,60.0
2023-06,2024-07,13,15,9,60.0
2023-06,2024-08,14,15,7,46.67
2023-06,2024-09,15,15,7,46.67
