customer_id,churned,monthly_revenue,predicted_churn_probability,risk_band
CUST-0520,Yes,434.5,0.94369,High
CUST-0552,No,63.8,0.943351,High
CUST-0085,Yes,116.0,0.942625,High
CUST-0470,Yes,126.4,0.942383,High
CUST-0325,Yes,1114.69,0.940534,High
CUST-0483,Yes,43.14,0.939701,High
CUST-0015,Yes,50.75,0.938355,High
CUST-0147,Yes,43.14,0.937725,High
CUST-0095,Yes,233.05,0.937445,High
CUST-0240,No,35.74,0.937344,High
CUST-0372,Yes,1034.8,0.935444,High
CUST-0344,Yes,446.35,0.934592,High
CUST-0060,Yes,766.3,0.933185,High
CUST-0418,Yes,33.35,0.932333,High
CUST-0021,Yes,721.86,0.928236,High
CUST-0248,Yes,431.37,0.927255,High
CUST-0227,Yes,50.75,0.927146,High
CUST-0200,Yes,409.62,0.926099,High
CUST-0494,Yes,6109.3,0.924079,High
CUST-0472,Yes,39.44,0.923899,High
CUST-0215,Yes,116.0,0.923202,High
CUST-0315,Yes,81.2,0.92314,High
CUST-0172,Yes,318.4,0.922935,High
CUST-0516,No,1422.85,0.922745,High
CUST-0512,Yes,117.09,0.922195,High
CUST-0528,Yes,55.1,0.922121,High
CUST-0537,Yes,137.75,0.921744,High
CUST-0485,Yes,77.22,0.92078,High
CUST-0246,Yes,138.25,0.919842,High
CUST-0314,No,50.53,0.917743,High
CUST-0342,Yes,309.36,0.917594,High
CUST-0560,Yes,50.75,0.917594,High
CUST-0352,Yes,590.15,0.917544,High
CUST-0055,Yes,378.1,0.91726,High
CUST-0392,Yes,107.3,0.916197,High
CUST-0374,Yes,629.3,0.916172,High
CUST-0025,No,46.83,0.915628,High
CUST-0416,Yes,498.99,0.913975,High
CUST-0417,Yes,87.51,0.913079,High
CUST-0489,Yes,351.55,0.910079,High
CUST-0112,Yes,564.85,0.90441,High
CUST-0556,Yes,5601.85,0.904241,High
CUST-0436,Yes,1361.66,0.904241,High
CUST-0104,Yes,676.6,0.900393,High
CUST-0271,Yes,221.2,0.896845,High
CUST-0036,Yes,150.1,0.896245,High
CUST-0269,Yes,102.7,0.895362,High
CUST-0210,Yes,5813.35,0.894953,High
CUST-0016,Yes,250.85,0.893962,High
CUST-0037,Yes,90.85,0.891593,High
CUST-0038,Yes,126.4,0.891192,High
CUST-0294,Yes,1691.5,0.890627,High
CUST-0463,Yes,126.4,0.889809,High
CUST-0557,No,381.35,0.886354,High
CUST-0399,Yes,2325.81,0.885694,High
CUST-0505,Yes,1631.8,0.885131,High
CUST-0526,Yes,161.95,0.882821,High
CUST-0244,Yes,124.7,0.88072,High
CUST-0162,Yes,677.15,0.879952,High
CUST-0339,Yes,42.05,0.87943,High
CUST-0428,No,72.5,0.879132,High
CUST-0177,Yes,2899.3,0.878896,High
CUST-0566,Yes,161.95,0.878497,High
CUST-0292,Yes,161.95,0.876331,High
CUST-0415,Yes,81.2,0.875438,High
CUST-0402,Yes,399.54,0.873166,High
CUST-0434,Yes,841.8,0.871153,High
CUST-0580,Yes,458.2,0.870621,High
CUST-0321,Yes,90.85,0.870524,High
CUST-0065,Yes,285.65,0.869465,High
CUST-0080,Yes,46.4,0.869192,High
CUST-0262,Yes,407.95,0.869092,High
CUST-0277,Yes,2744.5,0.868692,High
CUST-0110,Yes,641.28,0.867692,High
CUST-0350,Yes,766.3,0.866539,High
CUST-0375,Yes,80.11,0.863729,High
CUST-0234,Yes,1810.9,0.862636,High
CUST-0239,Yes,1184.05,0.859132,High
CUST-0523,Yes,378.1,0.858636,High
CUST-0544,No,549.74,0.854451,High
CUST-0009,Yes,37.7,0.854393,High
CUST-0113,Yes,766.15,0.853452,High
CUST-0541,Yes,422.65,0.852432,High
CUST-0070,Yes,2079.55,0.852228,High
CUST-0111,Yes,39.44,0.85099,High
CUST-0412,Yes,600.4,0.850453,High
CUST-0143,No,321.38,0.849332,High
CUST-0120,No,77.22,0.849106,High
CUST-0530,No,2744.5,0.84584,High
CUST-0100,No,676.6,0.844481,High
CUST-0249,Yes,138.25,0.841245,High
CUST-0011,Yes,2097.46,0.840062,High
CUST-0304,Yes,349.18,0.837453,High
CUST-0145,Yes,137.66,0.82953,High
CUST-0144,Yes,50.75,0.819543,High
CUST-0491,Yes,551.0,0.818017,High
CUST-0116,No,256.75,0.8172,High
CUST-0343,Yes,448.25,0.814655,High
CUST-0397,Yes,39.44,0.813602,High
CUST-0333,Yes,238.38,0.812531,High
CUST-0313,No,346.55,0.812498,High
CUST-0563,Yes,59.45,0.81082,High
CUST-0187,Yes,114.55,0.809732,High
CUST-0078,Yes,109.69,0.808808,High
CUST-0051,Yes,754.45,0.805314,High
CUST-0183,Yes,327.84,0.794952,High
CUST-0572,Yes,37.7,0.793134,High
CUST-0223,Yes,320.45,0.79232,High
CUST-0204,Yes,303.05,0.791414,High
CUST-0033,Yes,43.14,0.788575,High
CUST-0400,Yes,39.44,0.785519,High
CUST-0332,Yes,979.6,0.783618,High
CUST-0056,Yes,587.05,0.782404,High
CUST-0069,Yes,28.35,0.780511,High
CUST-0089,Yes,812.51,0.78046,High
CUST-0536,Yes,235.41,0.778041,High
CUST-0484,Yes,1034.8,0.776833,High
CUST-0084,Yes,2288.5,0.77224,High
CUST-0329,No,1316.6,0.769427,High
CUST-0490,Yes,873.25,0.766937,High
CUST-0554,Yes,165.16,0.765705,High
CUST-0360,No,28.35,0.763735,High
CUST-0255,Yes,199.0,0.76171,High
CUST-0582,Yes,481.9,0.759236,High
CUST-0127,Yes,142.1,0.756278,High
CUST-0458,No,1995.97,0.75333,High
CUST-0090,Yes,1843.73,0.753182,High
CUST-0206,Yes,337.85,0.751893,High
CUST-0476,No,77.22,0.750153,High
CUST-0270,Yes,849.25,0.748329,High
CUST-0213,No,5446.63,0.745523,High
CUST-0513,Yes,137.66,0.740762,High
CUST-0053,Yes,42.05,0.736413,High
CUST-0305,No,3124.3,0.736125,High
CUST-0340,Yes,538.6,0.731578,High
CUST-0547,Yes,573.85,0.731047,High
CUST-0137,Yes,54.23,0.730565,High
CUST-0309,Yes,46.83,0.719132,High
CUST-0353,Yes,1691.5,0.716702,High
CUST-0118,Yes,268.6,0.710654,High
CUST-0075,No,138.25,0.710259,High
CUST-0391,Yes,50.53,0.709721,High
CUST-0403,Yes,407.95,0.705306,High
CUST-0237,No,1358.8,0.70319,High
CUST-0203,Yes,407.95,0.702768,High
CUST-0439,Yes,2019.85,0.697483,High
CUST-0068,No,67.15,0.696234,High
CUST-0406,Yes,1034.8,0.695866,High
CUST-0487,Yes,55.1,0.695534,High
CUST-0421,Yes,2259.4,0.692205,High
CUST-0319,Yes,168.85,0.682176,High
CUST-0154,Yes,67.15,0.67781,High
CUST-0354,Yes,346.76,0.675241,High
CUST-0517,Yes,766.3,0.67451,High
CUST-0050,Yes,46.83,0.673409,High
CUST-0337,Yes,307.4,0.669808,High
CUST-0142,No,124.48,0.669255,High
CUST-0252,Yes,625.86,0.668789,High
CUST-0322,Yes,399.54,0.668104,High
CUST-0303,Yes,701.97,0.664329,High
CUST-0356,Yes,43.14,0.65898,Medium
CUST-0454,Yes,29.0,0.657471,Medium
CUST-0224,Yes,4941.35,0.654485,Medium
CUST-0584,No,706.45,0.649301,Medium
CUST-0550,Yes,159.5,0.646824,Medium
CUST-0588,Yes,1154.2,0.644248,Medium
CUST-0048,Yes,245.27,0.643521,Medium
CUST-0578,Yes,944.05,0.642999,Medium
CUST-0079,No,1363.15,0.636507,Medium
CUST-0378,Yes,318.4,0.6344,Medium
CUST-0455,No,59.45,0.627956,Medium
CUST-0383,Yes,97.37,0.62216,Medium
CUST-0570,No,727.34,0.618105,Medium
CUST-0316,Yes,389.47,0.6158,Medium
CUST-0260,Yes,2354.2,0.614754,Medium
CUST-0236,Yes,220.4,0.612909,Medium
CUST-0286,Yes,194.52,0.610285,Medium
CUST-0006,No,219.9,0.609924,Medium
CUST-0290,Yes,1539.27,0.606631,Medium
CUST-0094,Yes,7154.05,0.605313,Medium
CUST-0184,No,55.1,0.601574,Medium
CUST-0258,Yes,135.57,0.601247,Medium
CUST-0446,Yes,1064.65,0.594063,Medium
CUST-0511,No,363.4,0.589608,Medium
CUST-0395,No,288.55,0.575798,Medium
CUST-0501,Yes,553.39,0.575127,Medium
CUST-0134,Yes,1945.22,0.571932,Medium
CUST-0265,No,600.4,0.571808,Medium
CUST-0124,No,908.5,0.569069,Medium
CUST-0471,Yes,1716.87,0.556655,Medium
CUST-0429,No,244.9,0.5456,Medium
CUST-0336,Yes,270.64,0.541965,Medium
CUST-0044,Yes,77.22,0.538634,Medium
CUST-0445,No,1129.55,0.538233,Medium
CUST-0373,No,288.55,0.53592,Medium
CUST-0159,No,264.99,0.519219,Medium
CUST-0562,No,1064.65,0.50902,Medium
CUST-0405,No,378.1,0.506433,Medium
CUST-0312,Yes,154.06,0.502451,Medium
CUST-0047,Yes,318.4,0.502434,Medium
CUST-0480,Yes,318.4,0.502423,Medium
CUST-0538,Yes,161.95,0.501505,Medium
CUST-0086,No,975.1,0.500724,Medium
CUST-0117,Yes,308.89,0.496822,Medium
CUST-0576,Yes,35.74,0.494659,Medium
CUST-0347,No,228.31,0.492227,Medium
CUST-0543,Yes,424.15,0.485168,Medium
CUST-0045,No,55.1,0.48502,Medium
CUST-0049,Yes,493.75,0.484,Medium
CUST-0438,Yes,183.64,0.48347,Medium
CUST-0233,No,1394.35,0.480805,Medium
CUST-0163,No,28.35,0.47555,Medium
CUST-0594,Yes,2072.09,0.473625,Medium
CUST-0035,Yes,329.15,0.471704,Medium
CUST-0431,No,120.78,0.467546,Medium
CUST-0394,No,248.46,0.459887,Medium
CUST-0424,Yes,46.4,0.45551,Medium
CUST-0158,No,1921.15,0.446054,Medium
CUST-0473,No,233.45,0.436924,Medium
CUST-0211,No,3414.41,0.435694,Medium
CUST-0390,Yes,517.45,0.43544,Medium
CUST-0041,Yes,255.2,0.432272,Medium
CUST-0433,Yes,2295.4,0.427651,Medium
CUST-0540,Yes,320.45,0.425938,Medium
CUST-0595,Yes,497.5,0.423011,Medium
CUST-0141,No,600.48,0.420307,Medium
CUST-0167,No,168.85,0.419868,Medium
CUST-0152,Yes,5192.9,0.416573,Medium
CUST-0361,No,127.59,0.409848,Medium
CUST-0586,No,529.25,0.406518,Medium
CUST-0168,Yes,1034.8,0.406518,Medium
CUST-0475,No,67.15,0.402302,Medium
CUST-0366,No,683.35,0.397147,Medium
CUST-0245,No,169.15,0.39661,Medium
CUST-0278,No,1601.95,0.39179,Medium
CUST-0123,No,117.09,0.390448,Medium
CUST-0092,No,46.4,0.379577,Medium
CUST-0407,Yes,1215.41,0.377089,Medium
CUST-0599,No,238.38,0.373913,Medium
CUST-0097,No,2744.5,0.371244,Medium
CUST-0583,Yes,114.55,0.363967,Medium
CUST-0042,No,172.55,0.353386,Medium
CUST-0091,Yes,1632.98,0.349352,Medium
CUST-0299,Yes,557.2,0.344648,Medium
CUST-0469,No,219.9,0.342474,Medium
CUST-0195,Yes,32.05,0.339987,Medium
CUST-0046,Yes,114.55,0.339594,Medium
CUST-0311,No,2978.1,0.32563,Low
CUST-0441,Yes,943.46,0.319255,Low
CUST-0351,Yes,35.74,0.319129,Low
CUST-0010,Yes,2557.15,0.317778,Low
CUST-0346,No,3930.25,0.310772,Low
CUST-0251,Yes,135.57,0.310473,Low
CUST-0179,No,316.1,0.306591,Low
CUST-0225,No,329.03,0.305658,Low
CUST-0181,Yes,114.55,0.298307,Low
CUST-0561,No,1696.6,0.286744,Low
CUST-0199,No,97.37,0.285077,Low
CUST-0575,No,1107.93,0.282462,Low
CUST-0376,Yes,3287.16,0.275429,Low
CUST-0043,No,77.22,0.268284,Low
CUST-0521,Yes,723.55,0.267959,Low
CUST-0267,No,648.7,0.264623,Low
CUST-0398,Yes,6537.65,0.264391,Low
CUST-0569,No,221.2,0.262313,Low
CUST-0219,No,50.53,0.256485,Low
CUST-0474,Yes,127.59,0.252524,Low
CUST-0182,No,822.59,0.247137,Low
CUST-0103,No,114.55,0.246755,Low
CUST-0217,No,612.25,0.244609,Low
CUST-0165,No,146.67,0.239437,Low
CUST-0220,Yes,79.0,0.235937,Low
CUST-0531,No,304.15,0.235037,Low
CUST-0306,No,945.25,0.232716,Low
CUST-0591,No,348.25,0.231276,Low
CUST-0017,Yes,1184.05,0.228006,Low
CUST-0263,No,346.76,0.227435,Low
CUST-0130,No,161.95,0.226413,Low
CUST-0276,No,242.15,0.225144,Low
CUST-0032,No,678.64,0.222689,Low
CUST-0180,Yes,349.18,0.217178,Low
CUST-0427,No,313.05,0.210069,Low
CUST-0300,No,124.7,0.2084,Low
CUST-0502,No,379.4,0.205881,Low
CUST-0573,No,399.54,0.204113,Low
CUST-0503,No,1823.84,0.189473,Low
CUST-0358,No,131.88,0.189283,Low
CUST-0291,No,1378.49,0.186272,Low
CUST-0369,Yes,2295.4,0.184752,Low
CUST-0598,No,390.05,0.184654,Low
CUST-0275,No,348.25,0.18224,Low
CUST-0355,No,179.94,0.182121,Low
CUST-0268,No,550.63,0.179653,Low
CUST-0175,No,1412.4,0.172488,Low
CUST-0515,No,573.85,0.170108,Low
CUST-0133,No,499.0,0.167448,Low
CUST-0238,No,1034.8,0.167186,Low
CUST-0597,No,1124.76,0.163731,Low
CUST-0401,No,321.38,0.157817,Low
CUST-0274,No,470.05,0.157275,Low
CUST-0161,Yes,245.27,0.149759,Low
CUST-0432,No,339.11,0.145305,Low
CUST-0247,No,6512.27,0.143356,Low
CUST-0499,No,616.9,0.136689,Low
CUST-0264,No,250.85,0.131951,Low
CUST-0131,No,296.01,0.130931,Low
CUST-0551,No,1940.63,0.127839,Low
CUST-0273,No,117.51,0.126692,Low
CUST-0028,No,409.62,0.126061,Low
CUST-0450,No,137.66,0.120157,Low
CUST-0098,Yes,137.66,0.108052,Low
CUST-0012,No,904.95,0.105703,Low
CUST-0280,No,37.7,0.104749,Low
CUST-0447,No,46.4,0.102472,Low
CUST-0593,No,1572.1,0.099254,Low
CUST-0466,No,1031.82,0.098455,Low
CUST-0532,No,268.69,0.098142,Low
CUST-0468,No,996.75,0.097774,Low
CUST-0285,No,507.5,0.097461,Low
CUST-0388,No,369.33,0.096169,Low
CUST-0108,No,904.95,0.095155,Low
CUST-0461,No,37.7,0.09489,Low
CUST-0022,No,296.01,0.090691,Low
CUST-0493,No,290.87,0.08912,Low
CUST-0381,No,486.84,0.085645,Low
CUST-0542,No,146.45,0.083411,Low
CUST-0430,No,766.15,0.08257,Low
CUST-0548,No,1094.5,0.079167,Low
CUST-0242,No,397.5,0.075808,Low
CUST-0119,No,398.95,0.075614,Low
CUST-0498,No,270.64,0.074121,Low
CUST-0320,No,258.53,0.074098,Low
CUST-0279,No,55.1,0.073521,Low
CUST-0331,No,422.65,0.072267,Low
CUST-0328,No,221.2,0.07178,Low
CUST-0067,No,321.38,0.071072,Low
CUST-0197,No,499.0,0.067735,Low
CUST-0173,No,117.51,0.067096,Low
CUST-0232,No,588.55,0.061097,Low
CUST-0349,No,879.58,0.06085,Low
CUST-0553,No,520.12,0.060847,Low
CUST-0121,No,139.27,0.058817,Low
CUST-0040,No,752.72,0.056869,Low
CUST-0384,No,10978.0,0.056664,Low
CUST-0363,No,948.1,0.054846,Low
CUST-0030,No,5979.45,0.053022,Low
CUST-0189,No,638.0,0.052142,Low
CUST-0555,No,879.58,0.051461,Low
CUST-0221,No,219.9,0.048762,Low
CUST-0367,No,39.44,0.047789,Low
CUST-0064,No,570.77,0.044671,Low
CUST-0185,No,1024.04,0.038576,Low
CUST-0212,No,169.15,0.038115,Low
CUST-0005,No,198.43,0.03754,Low
CUST-0524,No,766.3,0.037383,Low
CUST-0302,No,625.86,0.036313,Low
CUST-0579,No,173.8,0.036046,Low
CUST-0149,No,79.0,0.035419,Low
CUST-0500,No,908.5,0.034433,Low
CUST-0330,No,671.5,0.033709,Low
CUST-0024,No,1251.24,0.033085,Low
CUST-0348,No,2348.2,0.033018,Low
CUST-0126,No,304.15,0.031584,Low
CUST-0259,No,1497.45,0.030554,Low
CUST-0148,No,5888.2,0.030501,Low
CUST-0457,No,449.9,0.029452,Low
CUST-0004,No,1006.44,0.028962,Low
CUST-0231,No,168.2,0.028487,Low
CUST-0226,No,825.55,0.027174,Low
CUST-0193,No,2894.2,0.026369,Low
CUST-0170,No,1124.35,0.026215,Low
CUST-0525,No,424.15,0.025103,Low
CUST-0404,No,1452.7,0.025,Low
CUST-0600,No,403.1,0.024703,Low
CUST-0389,No,1003.89,0.024628,Low
CUST-0359,No,3691.45,0.024491,Low
CUST-0157,No,107.44,0.024414,Low
CUST-0518,No,98.6,0.023716,Low
CUST-0481,No,8807.35,0.022976,Low
CUST-0156,No,378.1,0.02217,Low
CUST-0287,No,5738.5,0.021796,Low
CUST-0324,No,109.69,0.021593,Low
CUST-0194,No,852.89,0.021241,Low
CUST-0132,No,50.53,0.020302,Low
CUST-0115,No,135.57,0.019889,Low
CUST-0440,No,346.76,0.019772,Low
CUST-0323,No,378.1,0.019316,Low
CUST-0497,No,723.55,0.01914,Low
CUST-0136,No,1124.76,0.017856,Low
CUST-0125,No,245.27,0.016923,Low
CUST-0451,No,975.1,0.015826,Low
CUST-0093,No,55.1,0.015507,Low
CUST-0099,No,873.25,0.014601,Low
CUST-0076,No,621.14,0.01454,Low
CUST-0443,No,754.45,0.014404,Low
CUST-0568,No,205.83,0.014369,Low
CUST-0408,No,350.9,0.01365,Low
CUST-0102,No,801.85,0.013614,Low
CUST-0228,No,57.93,0.012985,Low
CUST-0338,No,117.09,0.012811,Low
CUST-0083,No,126.4,0.012527,Low
CUST-0281,No,778.09,0.012386,Low
CUST-0109,No,549.74,0.012245,Low
CUST-0301,No,1144.91,0.0122,Low
CUST-0519,No,1006.44,0.012133,Low
CUST-0477,No,861.1,0.012085,Low
CUST-0146,No,1546.9,0.011721,Low
CUST-0456,No,97.37,0.011374,Low
CUST-0465,No,79.0,0.011236,Low
CUST-0169,No,270.64,0.011207,Low
CUST-0105,No,564.85,0.011033,Low
CUST-0396,No,150.1,0.010519,Low
CUST-0464,No,239.1,0.010452,Low
CUST-0031,No,4558.59,0.009884,Low
CUST-0002,No,409.62,0.009614,Low
CUST-0071,No,4765.45,0.009444,Low
CUST-0307,No,3541.65,0.00918,Low
CUST-0393,No,529.3,0.008325,Low
CUST-0073,No,1323.25,0.008185,Low
CUST-0081,No,752.72,0.007882,Low
CUST-0235,No,524.37,0.00754,Low
CUST-0178,No,369.33,0.007353,Low
CUST-0452,No,209.35,0.007222,Low
CUST-0289,No,671.5,0.006693,Low
CUST-0288,No,736.3,0.005839,Low
CUST-0190,No,896.65,0.005288,Low
CUST-0284,No,381.35,0.004695,Low
CUST-0345,No,245.27,0.004591,Low
CUST-0063,No,1505.73,0.004541,Low
CUST-0482,No,329.03,0.004474,Low
CUST-0527,No,1412.4,0.004393,Low
CUST-0442,No,1513.89,0.004302,Low
CUST-0135,No,363.4,0.004218,Low
CUST-0564,No,161.95,0.004106,Low
CUST-0419,No,1497.45,0.004099,Low
CUST-0380,No,3949.65,0.003945,Low
CUST-0054,No,883.02,0.003811,Low
CUST-0460,No,981.07,0.003182,Low
CUST-0596,No,379.4,0.003163,Low
CUST-0205,No,1843.73,0.003066,Low
CUST-0160,No,772.22,0.002964,Low
CUST-0250,No,199.0,0.002877,Low
CUST-0448,No,1094.5,0.002744,Low
CUST-0122,No,2318.35,0.002607,Low
CUST-0072,No,159.5,0.002465,Low
CUST-0087,No,228.31,0.002138,Low
CUST-0522,No,948.1,0.002118,Low
CUST-0529,No,1387.03,0.001918,Low
CUST-0585,No,318.4,0.00171,Low
CUST-0488,No,321.38,0.001666,Low
CUST-0368,No,308.89,0.001645,Low
CUST-0535,No,3668.9,0.001641,Low
CUST-0174,No,4495.99,0.001632,Low
CUST-0362,No,4840.3,0.001595,Low
CUST-0192,No,2378.05,0.001421,Low
CUST-0297,No,1243.75,0.001411,Low
CUST-0034,No,2587.32,0.001119,Low
CUST-0539,No,651.23,0.001027,Low
CUST-0282,No,244.9,0.001003,Low
CUST-0222,No,624.1,0.000975,Low
CUST-0254,No,65.32,0.000951,Low
CUST-0196,No,258.53,0.000829,Low
CUST-0013,No,288.55,0.000793,Low
CUST-0507,No,1031.82,0.000742,Low
CUST-0587,No,199.0,0.000586,Low
CUST-0533,No,6786.4,0.00058,Low
CUST-0020,No,805.88,0.000507,Low
CUST-0256,No,378.1,0.000484,Low
CUST-0462,No,107.44,0.00042,Low
CUST-0026,No,615.02,0.00042,Low
CUST-0308,No,676.6,0.000417,Low
CUST-0444,No,318.4,0.000411,Low
CUST-0413,No,1387.03,0.00038,Low
CUST-0077,No,4316.35,0.00027,Low
CUST-0581,No,3303.4,0.000251,Low
CUST-0261,No,107.44,0.000204,Low
CUST-0426,No,378.1,0.000146,Low
CUST-0039,No,904.95,0.000142,Low
CUST-0257,No,1074.74,0.00013,Low
CUST-0558,No,2378.05,7.7e-05,Low
CUST-0326,No,397.5,7.2e-05,Low
CUST-0229,No,9256.45,6.7e-05,Low
CUST-0422,No,766.3,5.6e-05,Low
CUST-0574,No,6262.45,4.5e-05,Low
CUST-0243,No,9555.85,1.1e-05,Low
